regime,probe_tag,kind,bucket,distance,hit,used_retrieval,answer
rope,G02,status,medium,20,1,0,G2 (ship hinge migr) has status `◌ pending`.
rope,D05,decision,medium,13,1,1,"We adopted **ember-bus** for the lattice layer ""∵ idempotency constraints"" (D8|2026-07-03)."
rope,F05,fact,medium,23,1,1,The brisk manifold pipeline is pinned to build **ember-7915** until further notice.
rope,F08,fact,medium,20,1,1,The hollow hinge pipeline is pinned to build **helium-9123** until further notice.
rope,F11,fact,medium,16,1,1,The frosted baffle pipeline is pinned to build **cobalt-8530** until further notice.
rope,G05,status,medium,16,1,0,✓ G5 (done): ship eyelet migr — marked complete as of 2026-07-03.
rope,F03,fact,long,34,1,1,The nickel nozzle pipeline is pinned to build **cobalt-9870**.
rope,F06,fact,long,28,1,1,The pluvial jig pipeline is pinned to build **flint-1475** until further notice.
rope,F09,fact,medium,22,1,1,The ionic eyelet pipeline is pinned to build **argon-4818** until further notice.
rope,F12,fact,medium,16,1,1,The gilded impeller pipeline is pinned to build **delta-1352** until further notice.
rope,D03,decision,long,30,1,1,We adopted **cobalt-index for hinge layer** per D12 (2026-07-03) because of auditability constraints.
rope,D06,decision,medium,21,1,1,"We adopted **flint-store** for the nozzle layer due to observability constraints (decision D3, 2026-07-03)."
rope,D08,decision,medium,15,1,1,"We adopted **helium-pool** for the eyelet layer due to throughput constraints (D2, 2026-07-03)."
rope,G03,status,medium,19,1,0,✓ G3|new goal (◌): ship keel migr — the keel migration is done.
rope,G06,status,medium,22,1,0,G6 (ship lattice migr) is currently pending (◌).
rope-unbound,F01,fact,short,2,1,0,The ember pawl pipeline is pinned to build argon-1501 until further notice.
rope-unbound,D01,decision,short,2,1,0,"We adopted **argon-cache** for the anchor layer: ""decided to adopt argon-cache for anchor layer ∵ latency constraints"" ("
rope-unbound,F04,fact,short,3,1,0,The mossy gasket pipeline is pinned to build `delta-7245` (O2).
rope-unbound,G04,status,short,3,1,0,The gasket migration goal is pending (◌): `◌ G4|new goal (◌): ship gasket migr`
rope-unbound,D04,decision,short,4,1,0,We adopted delta-ledger for the baffle layer (D16|2026-07-03|decided to adopt delta-ledger for baffle layer ∵ portabilit
rope-unbound,F07,fact,short,5,1,0,The lunar orifice pipeline is pinned to build `granite-4632`.
rope-unbound,G01,status,short,5,1,0,`✓ G1|new goal (◌): ship nozzle migr` — the nozzle migration is marked complete.
rope-unbound,D02,decision,medium,14,1,0,We adopted basalt-queue for the manifold layer to address durability constraints (D8).
rope-unbound,F10,fact,short,3,1,0,The dusky flange pipeline is pinned to build `basalt-4782` until further notice (O5).
rope-unbound,F02,fact,medium,22,1,0,The jasper anchor pipeline is pinned to build `basalt-1416` until further notice.
rope-unbound,D07,decision,short,4,1,0,"We adopted **granite-lock** for the jig layer (D28: ""decided to adopt granite-lock for jig layer ∵ simplicity constraint"
rope-unbound,G02,status,medium,20,1,0,`◌ G2|new goal (◌): ship hinge migr` — the hinge migration goal is pending.
rope-unbound,D05,decision,medium,13,1,0,We adopted **ember-bus** for the lattice layer because of idempotency constraints (D20).
rope-unbound,F05,fact,medium,23,1,0,The brisk manifold pipeline is pinned to build `ember-7915` until further notice.
rope-unbound,F08,fact,medium,20,1,0,The hollow hinge pipeline is pinned to build `helium-9123` (O4).
rope-unbound,F11,fact,medium,16,1,0,The frosted baffle pipeline is pinned to build `cobalt-8530` until further notice.
rope-unbound,G05,status,medium,16,1,0,"✓ G5 is marked done: ""ship eyelet migr""."
rope-unbound,F03,fact,long,34,1,0,The nickel nozzle pipeline is pinned to build `cobalt-9870` until further notice.
rope-unbound,F06,fact,long,28,1,0,The pluvial jig pipeline is pinned to build `flint-1475` (from O3 in the OPEN section).
rope-unbound,F09,fact,medium,22,1,0,The ionic eyelet pipeline is pinned to build `argon-4818` until further notice.
rope-unbound,F12,fact,medium,16,1,0,"The gilded impeller pipeline is pinned to build `delta-1352` (line O6: ""gilded impeller pipeline pinned to build delta-1"
rope-unbound,D03,decision,long,30,1,0,"Cobalt-index was adopted for the hinge layer (D12: ""decided to adopt cobalt-index for hinge layer ∵ auditability constra"
rope-unbound,D06,decision,medium,21,1,0,"According to D24, we ""decided to adopt flint-store for nozzle layer ∵ observability constraints."""
rope-unbound,D08,decision,medium,15,1,0,"We adopted **helium-pool for eyelet layer ∵ throughput constraints** (D32, 2026-07-03)."
rope-unbound,G03,status,medium,19,1,0,✓ G3|new goal (◌): ship keel migr — **done** (marked with ✓ glyph).
rope-unbound,G06,status,medium,22,1,0,G6 (ship lattice migration) is `◌` pending.
